Title;requirements
"Cell &amp; Molecular Biology Major: Focus in Molecular Networks of the Cell - ASMAJ1003A ";[(1.0, ['CJH332H1', 'CSB327H1', 'CSB331H1', 'CSB353H1']), (0.5, ['CSB427H1', 'CSB428H1', 'CSB429H1', 'CSB435H1', 'CSB451H1', 'CSB454H1', 'CSB457H1', 'CSB458H1', 'CSB459H1', 'CSB460H1', 'CSB475H1']), (1.0, [{'BCH422H1', 'BCH426H1', 'BCH444H1', 'BCH445H1'}, 'CJH332H1', 'CSB299Y1', 'CSB327H1', 'CSB330H1', 'CSB331H1', 'CSB353H1', 'CSB397Y0', 'CSB399Y1', 'CSB427H1', 'CSB428H1', 'CSB429H1', 'CSB435H1', 'CSB450H1', 'CSB451H1', 'CSB452H1', 'CSB454H1', 'CSB457H1', 'CSB458H1', 'CSB459H1', 'CSB460H1', 'CSB475H1', 'CSB490H1', 'CSB491H1', 'CSB497H1', 'CSB498Y1', 'CSB499Y1'])]
"Cell &amp; Molecular Biology Major: Focus in Plant Genomics and Biotechnology - ASMAJ1003B ";[(1.0, ['CSB340H1', 'CSB352H1', 'CSB353H1']), (0.5, ['CSB435H1', 'CSB450H1', 'CSB451H1', 'CSB452H1', 'CSB454H1', 'CSB459H1', 'CSB460H1', 'CSB471H1', 'CSB472H1', 'CSB473H1', 'CSB474H1', 'CSB475H1']), (1.0, ['CSB299Y1', 'CSB330H1', 'CSB340H1', 'CSB350H1', 'CSB351Y1', 'CSB352H1', 'CSB353H1', 'CSB397Y0', 'CSB399Y1', 'CSB435H1', 'CSB450H1', 'CSB451H1', 'CSB452H1', 'CSB454H1', 'CSB459H1', 'CSB460H1', 'CSB471H1', 'CSB472H1', 'CSB473H1', 'CSB474H1', 'CSB475H1', 'CSB490H1', 'CSB491H1', 'CSB497H1', 'CSB498Y1', 'CSB499Y1'])]
"Cell &amp; Molecular Biology Major: Focus in Stem Cells and Developmental Biology - ASMAJ1003C ";[(1.0, ['CSB328H1', 'CSB329H1', 'CSB340H1']), (0.5, ['CSB427H1', 'CSB429H1', 'CSB430H1', 'CSB431H1', 'CSB483H1']), (1.0, ['CSB299Y1', 'CSB328H1', 'CSB329H1', 'CSB340H1', 'CSB397Y0', 'CSB399Y1', 'CSB427H1', 'CSB429H1', 'CSB430H1', 'CSB431H1', 'CSB453H1', 'CSB483H1', 'CSB497H1', 'CSB498Y1', 'CSB499Y1'])]
"Cell &amp; Molecular Biology Specialist: Focus in Molecular Networks of the Cell - ASSPE1003A ";[(1.0, ['CJH332H1', 'CSB327H1', 'CSB331H1', 'CSB353H1']), (1.0, ['CSB427H1', 'CSB428H1', 'CSB429H1', 'CSB435H1', 'CSB451H1', 'CSB454H1', 'CSB457H1', 'CSB458H1', 'CSB459H1', 'CSB460H1', 'CSB475H1']), (2.5, [{'BCH422H1', 'BCH426H1', 'BCH440H1', 'BCH441H1', 'BCH444H1', 'BCH445H1'}, 'CJH332H1', 'CSB299Y1', 'CSB327H1', 'CSB328H1', 'CSB329H1', 'CSB330H1', 'CSB331H1', 'CSB340H1', 'CSB350H1', 'CSB351Y1', 'CSB352H1', 'CSB353H1', 'CSB397Y0', 'CSB399Y1', 'CSB427H1', 'CSB428H1', 'CSB429H1', 'CSB430H1', 'CSB431H1', 'CSB435H1', 'CSB447H1', 'CSB450H1', 'CSB451H1', 'CSB452H1', 'CSB454H1', 'CSB457H1', 'CSB458H1', 'CSB459H1', 'CSB460H1', 'CSB472H1', 'CSB473H1', 'CSB474H1', 'CSB475H1', 'CSB483H1', 'CSB490H1', 'CSB491H1', 'CSB492H1', 'CSB497H1', 'CSB498Y1', 'CSB499Y1'])]
"Cell &amp; Molecular Biology Specialist: Focus in Plant Genomics and Biotechnology - ASSPE1003B ";[(1.0, ['CSB340H1', 'CSB350H1', 'CSB353H1']), (1.0, ['CSB435H1', 'CSB450H1', 'CSB451H1', 'CSB452H1', 'CSB454H1', 'CSB459H1', 'CSB460H1', 'CSB471H1', 'CSB472H1', 'CSB473H1', 'CSB474H1', 'CSB475H1']), (2.5, [{'BCH422H1', 'BCH426H1', 'BCH440H1', 'BCH441H1', 'BCH444H1', 'BCH445H1'}, 'CSB299Y1', 'CSB328H1', 'CSB329H1', 'CSB330H1', 'CSB331H1', 'CSB340H1', 'CSB350H1', 'CSB351Y1', 'CSB352H1', 'CSB353H1', 'CSB397Y0', 'CSB399Y1', 'CSB428H1', 'CSB431H1', 'CSB435H1', 'CSB450H1', 'CSB451H1', 'CSB452H1', 'CSB454H1', 'CSB458H1', 'CSB459H1', 'CSB460H1', 'CSB471H1', 'CSB472H1', 'CSB473H1', 'CSB474H1', 'CSB475H1', 'CSB483H1', 'CSB490H1', 'CSB491H1', 'CSB492H1', 'CSB497H1', 'CSB498Y1', 'CSB499Y1'])]
"Cell &amp; Molecular Biology Specialist: Focus in Stem Cells and Developmental Biology - ASSPE1003C ";[(1.0, ['CSB328H1', 'CSB329H1', 'CSB340H1']), (1.0, ['CSB427H1', 'CSB429H1', 'CSB430H1', 'CSB431H1', 'CSB483H1']), (2.5, [{'BCH422H1', 'BCH426H1', 'BCH440H1', 'BCH441H1', 'BCH444H1', 'BCH445H1'}, 'CSB299Y1', 'CSB327H1', 'CSB328H1', 'CSB329H1', 'CSB330H1', 'CSB331H1', 'CSB340H1', 'CSB350H1', 'CSB352H1', 'CSB397Y0', 'CSB399Y1', 'CSB427H1', 'CSB428H1', 'CSB429H1', 'CSB430H1', 'CSB431H1', 'CSB435H1', 'CSB450H1', 'CSB453H1', 'CSB458H1', 'CSB460H1', 'CSB472H1', 'CSB473H1', 'CSB474H1', 'CSB483H1', 'CSB490H1', 'CSB491H1', 'CSB492H1', 'CSB497H1', 'CSB498Y1', 'CSB499Y1'])]
"Focus in Artificial Intelligence (Specialist) - ASFOC1689B";[(1.0,['CSC336H1', {'MAT235Y1', 'MAT237Y1', 'MAT257Y1'}, 'APM236H1', {'MAT224H1', 'MAT247H1'}, {'STA238H1', 'STA248H1', 'STA261H1'}, 'STA302H1', 'STA347H1']), (2.5, ['CSC401H1', 'CSC485H1', 'CSC320H1', 'CSC420H1', {'CSC413H1', 'CSC421H1', 'CSC321H1'}, {'CSC311H1', 'CSC411H1', 'STA314H1'}, {'CSC412H1', 'STA414H1'}, 'CSC304H1', 'CSC384H1', 'CSC486H1'])]
"Focus in Artificial Intelligence (Major) - ASFOC1689K";[(1.0,['CSC336H1', {'MAT235Y1', 'MAT237Y1', 'MAT257Y1'}, 'APM236H1', {'MAT224H1', 'MAT247H1'}, {'STA238H1', 'STA248H1', 'STA261H1'}, 'STA302H1', 'STA347H1']), (2.5, ['CSC401H1', 'CSC485H1', 'CSC320H1', 'CSC420H1', {'CSC413H1', 'CSC421H1', 'CSC321H1'}, {'CSC311H1', 'CSC411H1', 'STA314H1'}, {'CSC412H1', 'STA414H1'}, 'CSC304H1', 'CSC384H1', 'CSC486H1'])]
"Focus in Web and Internet Technologies (Specialist) - ASFOC1689J";[(3.0, [{'STA238H1', 'STA248H1', 'STA261H1'}, 'CSC301H1', 'CSC343H1', {'CSC358H1', 'CSC457H1'}, 'CSC458H1', {'CSC311H1', 'CSC411H1'}]), (0.5, ['CSC367H1', 'CSC443H1', 'CSC469H1'])]
"Focus in Urban Geography (Specialist) - ASFOC1667S";[(1.0,  ['GGR124H1', 'GGR241H1', {'JGI216H1, JGU216H1'}, 'GGR259H1']), (1.5, ['GGR254H1', 'GGR336H1', 'GGR339H1', 'GGR349H1', 'GGR357H1', 'GGR359H1', 'GGR374H1', 'GGR382H1', 'GGR424H1', 'GGR458H1', 'GGR460H1', 'GGR482H1'])]
"Focus in Urban Geography (Major) - ASFOC1667M";[(1.0,  ['GGR124H1', 'GGR241H1', {'JGI216H1, JGU216H1'}, 'GGR259H1']), (1.5, ['GGR254H1', 'GGR336H1', 'GGR339H1', 'GGR349H1', 'GGR357H1', 'GGR359H1', 'GGR374H1', 'GGR382H1', 'GGR424H1', 'GGR458H1', 'GGR460H1', 'GGR482H1'])]
"Focus in Transnational Exchanges (Specialist) - ASFOC1469G";[(2.5,['ECO365H1', 'ECO368H1', 'HIS324H1', 'HIS341Y1', 'HIS359H1', 'HIS415Y1', 'HIS439H1', 'HIS494H1', 'JHA394H1', {'GGR324H1', 'POL371H1'}, {'GGR344H1', 'POL372H1'}, 'POL409H1', 'POL456Y1', 'POL445H1', 'POL472H1', 'TRN409H1', 'TRN410H1'])]
"Focus in Transnational Exchanges (Major) - ASFOC1469F";[(2.5,['ECO365H1', 'ECO368H1', 'HIS324H1', 'HIS341Y1', 'HIS359H1', 'HIS415Y1', 'HIS439H1', 'HIS494H1', 'JHA394H1', {'GGR324H1', 'POL371H1'}, {'GGR344H1', 'POL372H1'}, 'POL409H1', 'POL456Y1', 'POL445H1', 'POL472H1', 'TRN409H1', 'TRN410H1'])]
"Focus in Theory of Computation (Specialist) - ASFOC1689I";[(1.0,[{'MAT137Y1', 'MAT157Y1', 'MAT237Y1'}]),(0.5,'CSC463H1'),(2.0, ['CSC304H1', 'CSC336H1', 'CSC438H1', 'CSC448H1', 'CSC473H1', 'MAT309H1', 'MAT332H1', 'MAT344H1']), (2.0, [{'APM236H1','MIE262H1'}, 'MIE263H1', 'APM421H1', 'APM461H1', {'MAT224H1', 'MAT247H1'}, {'MAT237Y1', 'MAT257Y1'}, {'MAT244H1', 'MAT267H1'}, {'MAT301H1', 'MAT347Y1'}, 'MAT315H1', 'MAT327H1', {'MAT334H1', 'MAT354H1'}, 'MAT335H1', {'MAT337H1', 'MAT357H1'}])]
